text,label,bucket,word_count
sorry about that,Human,short,3
did not mean it,Human,short,4
misunderstanding happened,Human,short,2
lets clear it,Human,short,3
no drama please,Human,short,3
just want peace,Human,short,3
overthinking again,Human,short,2
anxiety hitting,Human,short,2
cannot sleep,Human,short,2
mind racing,Human,short,2
need a break,Human,short,3
need alone time,Human,short,3
disconnecting now,Human,short,2
keeping phone away,Human,short,3
social battery low,Human,short,3
introvert mode,Human,short,2
avoiding people,Human,short,2
stay home plan,Human,short,3
netflix all day,Human,short,3
binged series,Human,short,2
episode finished,Human,short,2
next episode,Human,short,2
too addictive,Human,short,2
lost sleep,Human,short,2
worth it though,Human,short,3
listening to music,Human,short,3
song on loop,Human,short,3
lyrics hit hard,Human,short,3
feels nostalgic,Human,short,2
old songs best,Human,short,3
new music good too,Human,short,4
share playlist,Human,short,2
vibes match,Human,short,2
feeling better,Human,short,2
laughed a bit,Human,short,3
that was funny,Human,short,3
laughing out loud,Human,short,3
seriously,Human,short,1
for real,Human,short,2
no way,Human,short,2
are you serious,Human,short,3
sounds crazy,Human,short,2
makes sense,Human,short,2
true,Human,short,1
agreed,Human,short,1
exactly,Human,short,1
same here,Human,short,2
me too,Human,short,2
no idea,Human,short,2
maybe,Human,short,1
probably,Human,short,1
lets see,Human,short,2
depends,Human,short,1
not sure,Human,short,2
ask later,Human,short,2
remind me,Human,short,2
ping me,Human,short,2
do not forget,Human,short,3
important,Human,short,1
urgent work,Human,short,2
need to do now,Human,short,4
got delayed,Human,short,2
no time today,Human,short,3
schedule messed up,Human,short,3
calendar full,Human,short,2
back to back calls,Human,short,4
need coffee break,Human,short,3
stepping out,Human,short,2
need fresh air,Human,short,3
going for walk,Human,short,3
back in ten,Human,short,3
be right back,Human,short,3
away for now,Human,short,3
talk to you later,Human,short,4
bye for now,Human,short,3
catch up later,Human,short,3
see you,Human,short,2
stay safe,Human,short,2
how are things,Human,short,3
what is going on,Human,short,4
everything okay,Human,short,2
how is work,Human,short,3
family is fine,Human,short,3
went to office today,Human,short,4
when will college end,Human,short,4
exam stress,Human,short,2
too much work,Human,short,3
very tired,Human,short,2
mood off,Human,short,2
talk tomorrow,Human,short,2
not in mood now,Human,short,4
lets go,Human,short,2
come fast,Human,short,2
wait a bit,Human,short,3
hold on,Human,short,2
coming now,Human,short,2
leaving now,Human,short,2
reached home,Human,short,2
outside right now,Human,short,3
too crowded today,Human,short,3
traffic situation,Human,short,2
very hot,Human,short,2
raining again,Human,short,2
forgot umbrella,Human,short,2
clothes got wet,Human,short,3
caught a cold,Human,short,3
tea break,Human,short,2
want coffee,Human,short,2
feeling hungry,Human,short,2
want to eat,Human,short,3
lets order,Human,short,2
ordering food,Human,short,2
delivery slow,Human,short,2
refund possible,Human,short,2
filed complaint,Human,short,2
customer care useless,Human,short,3
peak frustration,Human,short,2
leave it,Human,short,2
no worries,Human,short,2
will manage,Human,short,2
its fine,Human,short,2
everything will work,Human,short,3
hope so,Human,short,2
fingers crossed,Human,short,2
praying,Human,short,1
need luck,Human,short,2
heavy day,Human,short,2
tomorrow better,Human,short,2
stay positive,Human,short,2
keep trying,Human,short,2
not giving up,Human,short,3
one step at a time,Human,short,5
slow progress,Human,short,2
trust the process,Human,short,3
takes time,Human,short,2
results will come,Human,short,3
effort matters,Human,short,2
need patience,Human,short,2
things will settle,Human,short,3
just going on,Human,short,3
nothing special,Human,short,2
same routine,Human,short,2
wake work sleep,Human,short,3
repeat cycle,Human,short,2
need break,Human,short,2
need change,Human,short,2
fresh start,Human,short,2
new mindset,Human,short,2
resetting,Human,short,1
waiting weekend,Human,short,2
movie night,Human,short,2
with friends,Human,short,2
family time,Human,short,2
missing parents,Human,short,2
want to go home,Human,short,4
festival coming,Human,short,2
need shopping,Human,short,2
buy gifts,Human,short,2
budget tight,Human,short,2
waiting for sale,Human,short,3
wishlist ready,Human,short,2
control spending,Human,short,2
deal too good,Human,short,3
card swiped,Human,short,2
again happened,Human,short,2
enough now,Human,short,2
last time promise,Human,short,3
starting tomorrow,Human,short,2
joining gym,Human,short,2
fitness plan,Human,short,2
diet soon,Human,short,2
reduce junk,Human,short,2
cheat day,Human,short,2
skipped workout,Human,short,2
double tomorrow,Human,short,2
steps low today,Human,short,3
sleep improvement,Human,short,2
build routine,Human,short,2
need discipline,Human,short,2
cannot focus,Human,short,2
phone addiction,Human,short,2
screen time high,Human,short,3
delete apps,Human,short,2
willpower weak,Human,short,2
reduce slowly,Human,short,2
small steps,Human,short,2
consistency matters,Human,short,2
trust journey,Human,short,2
enough advice,Human,short,2
back to work,Human,short,3
talk later,Human,short,2
logging off,Human,short,2
done for today,Human,short,3
woke up too late,Human,short,4
alarm did not ring,Human,short,4
morning was rushed,Human,short,3
skipped shower today,Human,short,3
coffee saved me,Human,short,3
running behind schedule,Human,short,3
missed breakfast again,Human,short,3
traffic ruined mood,Human,short,3
reached late,Human,short,2
meeting delayed,Human,short,2
call got postponed,Human,short,3
waiting for update,Human,short,3
still no response,Human,short,3
following up again,Human,short,3
hope they reply,Human,short,3
checking mail again,Human,short,3
inbox empty,Human,short,2
refreshing page,Human,short,2
nothing yet,Human,short,2
patience running low,Human,short,3
time moving slow,Human,short,3
watching clock,Human,short,2
day feels long,Human,short,3
counting hours,Human,short,2
almost done,Human,short,2
halfway through,Human,short,2
need motivation,Human,short,2
push through,Human,short,2
stay focused,Human,short,2
distractions everywhere,Human,short,2
phone too tempting,Human,short,3
scrolling again,Human,short,2
lost track of time,Human,short,4
regret wasting time,Human,short,3
back to task,Human,short,3
trying again,Human,short,2
deep breath,Human,short,2
calm down,Human,short,2
one thing at a time,Human,short,5
small wins count,Human,short,3
task completed finally,Human,short,3
felt good,Human,short,2
next task pending,Human,short,3
list getting longer,Human,short,3
need break soon,Human,short,3
stretching a bit,Human,short,3
neck hurting,Human,short,2
eyes tired,Human,short,2
screen fatigue,Human,short,2
need rest,Human,short,2
closing laptop soon,Human,short,3
saving work,Human,short,2
shutting down,Human,short,2
tomorrow again,Human,short,2
same cycle,Human,short,2
hope tomorrow better,Human,short,3
fresh start tomorrow,Human,short,3
sleep early today,Human,short,3
no late night,Human,short,3
setting alarm,Human,short,2
wish me luck,Human,short,3
hope I wake up,Human,short,4
dont oversleep,Human,short,2
night routine messed,Human,short,3
too much caffeine,Human,short,3
cannot sleep,Human,short,2
mind still active,Human,short,3
random thoughts,Human,short,2
overthinking again,Human,short,2
why brain like this,Human,short,4
need silence,Human,short,2
turning lights off,Human,short,3
phone on silent,Human,short,3
trying to sleep,Human,short,3
counting sheep,Human,short,2
still awake,Human,short,2
checking time again,Human,short,3
too late now,Human,short,3
will sleep somehow,Human,short,3
morning regret incoming,Human,short,3
alarm ringing already,Human,short,3
hit snooze,Human,short,2
five more minutes,Human,short,3
ten more minutes,Human,short,3
oops late again,Human,short,3
running again,Human,short,2
another chaotic day,Human,short,3
story of my life,Human,short,4
same problem daily,Human,short,3
need better habits,Human,short,3
working on it,Human,short,3
slow progress,Human,short,2
not quitting though,Human,short,3
trying my best,Human,short,3
that counts right,Human,short,3
at least trying,Human,short,3
some days hard,Human,short,3
some days easy,Human,short,3
today is hard,Human,short,3
tomorrow maybe easy,Human,short,3
ups and downs,Human,short,3
part of life,Human,short,3
learning slowly,Human,short,2
making mistakes,Human,short,2
learning from them,Human,short,3
growth takes time,Human,short,3
no shortcut sadly,Human,short,3
wish it was easy,Human,short,4
everyone struggling,Human,short,2
not just me,Human,short,3
helps to remember,Human,short,3
feels less alone,Human,short,3
thanks for listening,Human,short,3
needed that,Human,short,2
feels lighter now,Human,short,3
mood slightly better,Human,short,3
music helped,Human,short,2
song on repeat,Human,short,3
lyrics relatable,Human,short,2
hit too close,Human,short,3
emotional suddenly,Human,short,2
random memories,Human,short,2
throwback moments,Human,short,2
missing old days,Human,short,3
simpler times,Human,short,2
less worries,Human,short,2
more fun,Human,short,2
adult life tough,Human,short,3
no manual provided,Human,short,3
learning as we go,Human,short,4
fake it sometimes,Human,short,3
hope no one notices,Human,short,4
imposter feeling,Human,short,2
everyone confident outside,Human,short,3
inside unsure,Human,short,2
normal I guess,Human,short,3
many feel same,Human,short,3
reassuring thought,Human,short,2
helps a bit,Human,short,3
still anxious though,Human,short,3
breathing slowly,Human,short,2
count to ten,Human,short,3
ground yourself,Human,short,2
present moment,Human,short,2
here and now,Human,short,3
okay better,Human,short,2
back to reality,Human,short,3
focus again,Human,short,2
task at hand,Human,short,3
doable actually,Human,short,2
not that bad,Human,short,3
why I delayed,Human,short,3
could have finished earlier,Human,short,4
lesson learned maybe,Human,short,3
next time better,Human,short,3
hope so,Human,short,2
history says no,Human,short,3
but trying anyway,Human,short,3
progress not perfection,Human,short,3
repeat that,Human,short,2
helps mindset,Human,short,2
writing this down,Human,short,3
note to self,Human,short,3
be kinder to self,Human,short,4
not everything perfect,Human,short,3
mistakes allowed,Human,short,2
rest allowed,Human,short,2
breaks allowed,Human,short,2
human after all,Human,short,3
not a robot,Human,short,3
even robots glitch,Human,short,3
so I am fine,Human,short,4
accepting that,Human,short,2
moving on,Human,short,2
new message came,Human,short,3
replying now,Human,short,2
conversation flowing,Human,short,2
feels nice,Human,short,2
social interaction helps,Human,short,3
laughing a bit,Human,short,3
shared meme,Human,short,2
funny one,Human,short,2
laughed hard,Human,short,2
needed that laugh,Human,short,3
stress reduced,Human,short,2
mood improved,Human,short,2
small joys matter,Human,short,3
random chats help,Human,short,3
thankful for friends,Human,short,3
support system matters,Human,short,3
even small talk,Human,short,3
feels connected,Human,short,2
not alone feeling,Human,short,3
checking in helps,Human,short,3
doing same for others,Human,short,4
asking how they are,Human,short,4
listening more,Human,short,2
being present,Human,short,2
trying to improve,Human,short,3
slowly growing,Human,short,2
one day at time,Human,short,4
no rush,Human,short,2
life not race,Human,short,3
reminding myself,Human,short,2
comparison kills joy,Human,short,3
avoiding that,Human,short,2
focusing on path,Human,short,3
my own pace,Human,short,3
unique journey,Human,short,2
trusting timing,Human,short,2
things align eventually,Human,short,3
believing that,Human,short,2
hope keeping me going,Human,short,4
without hope tough,Human,short,3
so holding on,Human,short,3
whatever happens,Human,short,2
will deal then,Human,short,3
no point stressing early,Human,short,4
easier said though,Human,short,3
mind stubborn,Human,short,2
keeps worrying,Human,short,2
but practice helps,Human,short,3
training mind slowly,Human,short,3
like muscle,Human,short,2
needs repetition,Human,short,2
daily reminders,Human,short,2
sticky notes maybe,Human,short,3
affirmations help,Human,short,2
trying new things,Human,short,3
experimenting,Human,short,1
seeing what works,Human,short,3
keeping what helps,Human,short,3
dropping what doesnt,Human,short,3
learning process,Human,short,2
embracing mess,Human,short,2
imperfect progress,Human,short,2
still progress,Human,short,2
celebrate small wins,Human,short,3
even tiny ones,Human,short,3
got out of bed,Human,short,4
counts as win,Human,short,3
answered that mail,Human,short,3
another win,Human,short,2
drank water,Human,short,2
basic but win,Human,short,3
self care basics,Human,short,3
often ignored,Human,short,2
starting small,Human,short,2
building foundation,Human,short,2
health first,Human,short,2
everything else later,Human,short,3
remembering that,Human,short,2
body needs care,Human,short,3
mind needs rest,Human,short,3
listening more,Human,short,2
signals are there,Human,short,3
ignoring causes trouble,Human,short,3
learning hard way,Human,short,3
hope not repeat,Human,short,3
but probably will,Human,short,3
human nature,Human,short,2
loop continues,Human,short,2
but awareness growing,Human,short,3
step by step,Human,short,3
no overnight change,Human,short,3
accepting pace,Human,short,2
breathing easier,Human,short,2
writing helped,Human,short,2
thanks again,Human,short,2
talk later,Human,short,2
need to log off,Human,short,4
screen break time,Human,short,3
catch you later,Human,short,3
woke up feeling weird,Human,short,4
dream was confusing,Human,short,3
still thinking about it,Human,short,4
morning foggy,Human,short,2
brain lagging,Human,short,2
need time to start,Human,short,4
slow mornings today,Human,short,3
rushing didnt help,Human,short,3
spilled coffee,Human,short,2
great start right,Human,short,3
cleaned it up,Human,short,3
shirt still smells,Human,short,3
hope no one notices,Human,short,4
quick fix worked,Human,short,3
mirror check done,Human,short,3
out the door,Human,short,3
forgot keys again,Human,short,3
ran back upstairs,Human,short,3
heart racing,Human,short,2
barely made it,Human,short,3
close call,Human,short,2
public transport packed,Human,short,3
standing whole way,Human,short,3
legs tired already,Human,short,3
long day ahead,Human,short,3
checking to do list,Human,short,4
looks scary,Human,short,2
starting anyway,Human,short,2
first task easy,Human,short,3
momentum building,Human,short,2
second task harder,Human,short,3
stuck a bit,Human,short,3
googling again,Human,short,2
found answer finally,Human,short,3
why so simple,Human,short,3
overthought as usual,Human,short,3
noted for next time,Human,short,4
keep moving,Human,short,2
time flying suddenly,Human,short,3
lost track again,Human,short,3
missed lunch,Human,short,2
snack will do,Human,short,3
chips for now,Human,short,3
not healthy but ok,Human,short,4
balance later,Human,short,2
water intake low,Human,short,3
drinking now,Human,short,2
better late,Human,short,2
head feels clearer,Human,short,3
small reset helps,Human,short,3
back to screen,Human,short,3
notifications popping,Human,short,2
muting chat,Human,short,2
focus mode on,Human,short,3
still distracted,Human,short,2
mind wandering,Human,short,2
thinking about weekend,Human,short,3
no plans yet,Human,short,3
maybe sleep only,Human,short,3
sounds perfect,Human,short,2
low energy vibes,Human,short,3
cancel social plans,Human,short,3
stay in mode,Human,short,3
recharge needed,Human,short,2
people can wait,Human,short,3
me time important,Human,short,3
learning to say no,Human,short,4
hard but necessary,Human,short,3
guilt creeping in,Human,short,3
pushing it away,Human,short,3
rest is productive too,Human,short,4
repeat that,Human,short,2
body agrees,Human,short,2
yawn again,Human,short,2
coffee number two,Human,short,3
maybe too much,Human,short,3
hands shaking slightly,Human,short,3
not ideal,Human,short,2
switch to water,Human,short,3
lesson learned,Human,short,2
again maybe not,Human,short,3
afternoon slump,Human,short,2
eyes closing,Human,short,2
stretch break,Human,short,2
walked around,Human,short,2
sunlight helps,Human,short,2
felt human again,Human,short,3
back to desk,Human,short,3
emails piling,Human,short,2
replying slowly,Human,short,2
typing carefully,Human,short,2
tone matters,Human,short,2
dont sound rude,Human,short,3
rephrase that,Human,short,2
delete sentence,Human,short,2
rewrite again,Human,short,2
send now,Human,short,2
hope its fine,Human,short,3
overthinking emails,Human,short,2
classic me,Human,short,2
waiting for reply,Human,short,3
refresh inbox,Human,short,2
nothing yet,Human,short,2
patience required,Human,short,2
checking phone anyway,Human,short,3
habit strong,Human,short,2
trying to stop,Human,short,3
fail instantly,Human,short,2
scrolling again,Human,short,2
saw something funny,Human,short,3
sent it to friend,Human,short,4
instant reply,Human,short,2
felt nice,Human,short,2
quick chat,Human,short,2
back to work,Human,short,3
timer set,Human,short,2
twenty minutes focus,Human,short,3
actually helped,Human,short,2
timer rang,Human,short,2
small victory,Human,short,2
repeat cycle,Human,short,2
productivity rising,Human,short,2
who am I,Human,short,3
dont question it,Human,short,3
ride the wave,Human,short,3
task done,Human,short,2
crossed off list,Human,short,3
satisfying feeling,Human,short,2
list shorter now,Human,short,3
motivation boosted,Human,short,2
continue while it lasts,Human,short,4
afternoon almost over,Human,short,3
energy dipping again,Human,short,3
pushing through,Human,short,2
last stretch,Human,short,2
counting minutes,Human,short,2
clock moving slow,Human,short,3
why like this,Human,short,3
almost there,Human,short,2
final task remaining,Human,short,3
forcing focus,Human,short,2
completed somehow,Human,short,2
relief wave,Human,short,2
exhale deeply,Human,short,2
day survived,Human,short,2
packing up,Human,short,2
saving files,Human,short,2
closing tabs,Human,short,2
shutdown time,Human,short,2
freedom feeling,Human,short,2
stepping outside,Human,short,2
fresh air again,Human,short,3
sky looks nice,Human,short,3
sun setting,Human,short,2
pretty colors,Human,short,2
paused to look,Human,short,3
simple moment,Human,short,2
felt calm,Human,short,2
needed that,Human,short,2
walking home,Human,short,2
feet sore,Human,short,2
mind lighter,Human,short,2
thinking about dinner,Human,short,3
too tired to cook,Human,short,4
ordering food again,Human,short,3
delivery app open,Human,short,3
scrolling options,Human,short,2
everything looks good,Human,short,3
decision fatigue,Human,short,2
picked usual,Human,short,2
order placed,Human,short,2
waiting now,Human,short,2
washing hands,Human,short,2
changing clothes,Human,short,2
comfort outfit on,Human,short,3
home vibes,Human,short,2
door locked,Human,short,2
safe inside,Human,short,2
food arrived,Human,short,2
smells good,Human,short,2
first bite nice,Human,short,3
hunger satisfied,Human,short,2
mood improved,Human,short,2
food really helps,Human,short,3
watching random video,Human,short,3
background noise,Human,short,2
not really watching,Human,short,3
just there,Human,short,2
mind drifting,Human,short,2
thinking about tomorrow,Human,short,3
to do list again,Human,short,4
pushing thought away,Human,short,3
tonight is rest,Human,short,3
future can wait,Human,short,3
phone buzzing again,Human,short,3
replying later,Human,short,2
set boundaries,Human,short,2
learning slowly,Human,short,2
progress not linear,Human,short,3
some days better,Human,short,3
some days worse,Human,short,3
today mixed,Human,short,2
but okay overall,Human,short,3
acknowledging that,Human,short,2
gratitude moment,Human,short,2
had food,Human,short,2
had shelter,Human,short,2
had few laughs,Human,short,3
not bad,Human,short,2
writing this down,Human,short,3
helps process,Human,short,2
journal style chat,Human,short,3
no filter,Human,short,2
honest thoughts,Human,short,2
rarely shared,Human,short,2
feels good,Human,short,2
release pressure,Human,short,2
no judgment here,Human,short,3
accepting myself,Human,short,2
flaws included,Human,short,2
still worthy,Human,short,2
important reminder,Human,short,2
ending day gently,Human,short,3
screens off soon,Human,short,3
dim lights,Human,short,2
quiet music,Human,short,2
